lifter,date,lift,weight,reps,is_max
irka,2022-09-13,deadlift,80,3,True
irka,2022-09-13,military,50,5,True
jikr,2022-09-13,deadlift,100,6,True
jikr,2022-09-13,military,40,5,True
irka,2022-09-15,squat,65,2,True
irka,2022-09-15,bench,80,2,True
jikr,2022-09-15,squat,80,3,True
jikr,2022-09-15,bench,80,1,True
irka,2022-09-19,military,40,6,False
jikr,2022-09-19,military,30,12,False
irka,2022-09-21,deadlift,60,15,False
jikr,2022-09-21,deadlift,85,18,False
irka,2022-09-23,bench,60,13,False
jikr,2022-09-23,bench,60,12,False
irka,2022-09-26,squat,50,13,False
jikr,2022-09-26,squat,60,11,False
irka,2022-09-28,military,45,10,False
jikr,2022-09-28,military,35,10,False
irka,2022-09-30,deadlift,70,12,False
irka,2022-10-31,bench,67.5,13,False
jikr,2022-10-31,bench,62.5,11,False
irka,2022-11-07,military,42.5,10,False
jikr,2022-11-07,military,35,8,False
jikr,2022-11-09,deadlift,90,14,False
cam,2022-11-08,bench,27.5,5,True
cam,2022-11-08,military,15,6,True
cam,2022-11-08,squat,47.5,3,True
cam,2022-11-08,deadlift,50,7,True
cam,2022-12-02,bench,22.5,11,False
cam,2022-12-12,bench,22.5,13,False
cam,2022-12-05,deadlift,45,12,False
cam,2022-12-12,deadlift,45,10,False
cam,2022-12-05,military,15,8,False
cam,2022-12-15,military,15,9,False
cam,2022-12-22,military,15,10,False
cam,2022-12-19,bench,25,10,False
cam,2022-12-19,deadlift,47.5,12,False
cam,2022-12-27,bench,25,12,False
cam,2022-12-27,deadlift,50,10,False
alvi,2022-12-27,bench,15,2,True
alvi,2022-12-27,military,10,2,True
alvi,2022-12-27,squat,15,2,True
alvi,2022-12-27,deadlift,25,3,True
cam,2022-12-30,military,17.5,8,True
irka,2023-01-02,bench,62.5,16,False
jikr,2023-01-02,bench,60.0,17,False
cam,2023-01-06,military,17.5,6,False
cam,2023-01-06,deadlift,50.0,10,False
cam,2023-01-02,bench,25.0,13,False
jikr,2023-01-06,deadlift,90,17,False
irka,2023-01-06,military,42.5,9,False
jikr,2023-01-06,military,35,9,False
irka,2023-01-04,squat,50,12,False
jikr,2023-01-04,squat,65,12,False
jikr,2023-01-09,squat,70,9,False
jikr,2023-01-11,bench,62.5,12,False
irka,2023-01-13,deadlift,70,6,False
jikr,2023-01-13,deadlift,95,13,False
irka,2023-01-13,military,45,9,False
jikr,2023-01-13,military,35,11,False
cam,2023-01-12,military,17.5,9,False
cam,2023-01-09,deadlift,52.5,8,False
cam,2023-01-09,bench,27.5,8,False
cam,2023-01-12,squat,25,8,False
irka,2023-01-16,squat,57.5,7,False
jikr,2023-01-16,squat,72.5,9,False
cam,2023-01-25,military,20,3,False
cam,2023-01-23,deadlift,55,5,False
cam,2023-01-23,bench,27.5,7,False
cam,2023-02-02,military,20,2,False
cam,2023-01-30,deadlift,52.5,7,False
cam,2023-01-30,bench,27.5,10,False
cam,2023-02-20,military,20,4,False
cam,2023-02-17,deadlift,57.5,5,False
cam,2023-02-14,bench,30,7,False
cam,2023-03-06,deadlift,60,5,True
cam,2023-03-06,bench,32.5,5,True
cam,2023-03-13,military,22.5,4,True
cam,2023-03-13,squat,40,4,True